,,,,
 memoria ,cpu , crip ,,   
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,25, ##AES128## ,,
30,32, ##AES128## ,,
28,32, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,25, ##AES128## ,,
28,26, ##AES128## ,,
29,25, ##AES128## ,,
28,25, ##AES128## ,,
29,25, ##AES128## ,,
29,25, ##AES128## ,,
29,25, ##AES128## ,,
29,25, ##AES128## ,,
29,25, ##AES128## ,,
28,25, ##AES128## ,,
29,25, ##AES128## ,,
29,25, ##AES128## ,,
29,25, ##AES128## ,,
29,26, ##AES128## ,,
29,25, ##AES256## ,,
28,25, ##AES256## ,,
